bridge_rule,slr_ft,metric,value,unit,universe,population_count_type,reference_value,delta,record_type,baseline_status,scenario_status,block_count,population
approach,2,new_inundated_population,17435.0,persons,all_blocks,unique_person,,,headline,,,,
approach,3,new_fragile_blocks,477.0,blocks,all_blocks,not_applicable,,,headline,,,,
approach,3,new_fragile_population,40500.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,3,new_fragile_population,40500.0,persons,all_blocks,unique_person,,,headline,,,,
approach,3,new_isolated_blocks,1201.0,blocks,all_blocks,not_applicable,,,headline,,,,
approach,3,new_isolated_population,152560.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,3,new_isolated_population,152560.0,persons,all_blocks,unique_person,,,headline,,,,
approach,3,new_inundated_blocks,1124.0,blocks,all_blocks,not_applicable,,,headline,,,,
approach,3,new_inundated_population,86305.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,3,new_inundated_population,86305.0,persons,all_blocks,unique_person,,,headline,,,,
approach,4,new_fragile_blocks,734.0,blocks,all_blocks,not_applicable,,,headline,,,,
approach,4,new_fragile_population,57430.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,4,new_fragile_population,57430.0,persons,all_blocks,unique_person,,,headline,,,,
approach,4,new_isolated_blocks,1981.0,blocks,all_blocks,not_applicable,,,headline,,,,
approach,4,new_isolated_population,239712.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,4,new_isolated_population,239712.0,persons,all_blocks,unique_person,,,headline,,,,
approach,4,new_inundated_blocks,2823.0,blocks,all_blocks,not_applicable,,,headline,,,,
approach,4,new_inundated_population,251397.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,4,new_inundated_population,251397.0,persons,all_blocks,unique_person,,,headline,,,,
approach,5,new_fragile_blocks,1215.0,blocks,all_blocks,not_applicable,,,headline,,,,
approach,5,new_fragile_population,82627.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,5,new_fragile_population,82627.0,persons,all_blocks,unique_person,,,headline,,,,
approach,5,new_isolated_blocks,3425.0,blocks,all_blocks,not_applicable,,,headline,,,,
approach,5,new_isolated_population,353839.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,5,new_isolated_population,353839.0,persons,all_blocks,unique_person,,,headline,,,,
approach,5,new_inundated_blocks,6400.0,blocks,all_blocks,not_applicable,,,headline,,,,
approach,5,new_inundated_population,575301.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,5,new_inundated_population,575301.0,persons,all_blocks,unique_person,,,headline,,,,
approach,6,new_fragile_blocks,1380.0,blocks,all_blocks,not_applicable,,,headline,,,,
approach,6,new_fragile_population,90028.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,6,new_fragile_population,90028.0,persons,all_blocks,unique_person,,,headline,,,,
approach,6,new_isolated_blocks,6458.0,blocks,all_blocks,not_applicable,,,headline,,,,
approach,6,new_isolated_population,641766.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,6,new_isolated_population,641766.0,persons,all_blocks,unique_person,,,headline,,,,
approach,6,new_inundated_blocks,13551.0,blocks,all_blocks,not_applicable,,,headline,,,,
approach,6,new_inundated_population,1328770.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,6,new_inundated_population,1328770.0,persons,all_blocks,unique_person,,,headline,,,,
approach,1,cumulative_newly_affected_population,5523.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,1,cumulative_newly_affected_population,5523.0,persons,all_blocks,unique_person,,,headline,,,,
approach,2,cumulative_newly_affected_population,70295.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,2,cumulative_newly_affected_population,64772.0,persons,all_blocks,unique_person,,,headline,,,,
approach,3,cumulative_newly_affected_population,349660.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,3,cumulative_newly_affected_population,279365.0,persons,all_blocks,unique_person,,,headline,,,,
approach,4,cumulative_newly_affected_population,898199.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,4,cumulative_newly_affected_population,548539.0,persons,all_blocks,unique_person,,,headline,,,,
approach,5,cumulative_newly_affected_population,1909966.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,5,cumulative_newly_affected_population,1011767.0,persons,all_blocks,unique_person,,,headline,,,,
approach,6,cumulative_newly_affected_population,3970530.0,persons,all_blocks,person_scenario,660000.0,3310530.0,headline,,,,
approach,6,cumulative_newly_affected_population,2060564.0,persons,all_blocks,unique_person,660000.0,1400564.0,headline,,,,
approach,0,baseline_status_redundant_blocks,40439.0,blocks,analysis_universe,not_applicable,,,headline,,,,
approach,0,baseline_status_redundant_population,3714651.0,persons,analysis_universe,person_scenario,,,headline,,,,
approach,0,baseline_status_redundant_population,3714651.0,persons,analysis_universe,unique_person,,,headline,,,,
approach,0,baseline_status_fragile_blocks,14697.0,blocks,analysis_universe,not_applicable,,,headline,,,,
approach,0,baseline_status_fragile_population,2381142.0,persons,analysis_universe,person_scenario,,,headline,,,,
approach,0,baseline_status_fragile_population,2381142.0,persons,analysis_universe,unique_person,,,headline,,,,
approach,0,baseline_status_isolated_blocks,152.0,blocks,analysis_universe,not_applicable,,,headline,,,,
approach,0,baseline_status_isolated_population,19842.0,persons,analysis_universe,person_scenario,,,headline,,,,
approach,0,baseline_status_isolated_population,19842.0,persons,analysis_universe,unique_person,,,headline,,,,
