bridge_rule,slr_ft,metric,value,unit,universe,population_count_type,reference_value,delta
approach,6,new_isolated_population,641766.0,persons,all_blocks,unique_person,,
approach,6,new_inundated_blocks,13551.0,blocks,all_blocks,not_applicable,,
approach,6,new_inundated_population,1328770.0,persons,all_blocks,person_scenario,,
approach,6,new_inundated_population,1328770.0,persons,all_blocks,unique_person,,
approach,1,cumulative_newly_affected_population,5523.0,persons,all_blocks,person_scenario,,
approach,1,cumulative_newly_affected_population,5523.0,persons,all_blocks,unique_person,,
approach,2,cumulative_newly_affected_population,70295.0,persons,all_blocks,person_scenario,,
approach,2,cumulative_newly_affected_population,64772.0,persons,all_blocks,unique_person,,
approach,3,cumulative_newly_affected_population,349660.0,persons,all_blocks,person_scenario,,
approach,3,cumulative_newly_affected_population,279365.0,persons,all_blocks,unique_person,,
approach,4,cumulative_newly_affected_population,898199.0,persons,all_blocks,person_scenario,,
approach,4,cumulative_newly_affected_population,548539.0,persons,all_blocks,unique_person,,
approach,5,cumulative_newly_affected_population,1909966.0,persons,all_blocks,person_scenario,,
approach,5,cumulative_newly_affected_population,1011767.0,persons,all_blocks,unique_person,,
approach,6,cumulative_newly_affected_population,3970530.0,persons,all_blocks,person_scenario,660000.0,3310530.0
approach,6,cumulative_newly_affected_population,2060564.0,persons,all_blocks,unique_person,660000.0,1400564.0
approach,0,baseline_status_redundant_blocks,40439.0,blocks,analysis_universe,not_applicable,,
approach,0,baseline_status_redundant_population,3714651.0,persons,analysis_universe,person_scenario,,
approach,0,baseline_status_redundant_population,3714651.0,persons,analysis_universe,unique_person,,
approach,0,baseline_status_fragile_blocks,14697.0,blocks,analysis_universe,not_applicable,,
approach,0,baseline_status_fragile_population,2381142.0,persons,analysis_universe,person_scenario,,
approach,0,baseline_status_fragile_population,2381142.0,persons,analysis_universe,unique_person,,
approach,0,baseline_status_isolated_blocks,152.0,blocks,analysis_universe,not_applicable,,
approach,0,baseline_status_isolated_population,19842.0,persons,analysis_universe,person_scenario,,
approach,0,baseline_status_isolated_population,19842.0,persons,analysis_universe,unique_person,,
approach,0,baseline_status_inundated_blocks,93.0,blocks,analysis_universe,not_applicable,,
approach,0,baseline_status_inundated_population,20053.0,persons,analysis_universe,person_scenario,,
approach,0,baseline_status_inundated_population,20053.0,persons,analysis_universe,unique_person,,
approach,0,baseline_status_unclassified_blocks,0.0,blocks,analysis_universe,not_applicable,,
approach,0,baseline_status_unclassified_population,0.0,persons,analysis_universe,person_scenario,,
approach,0,baseline_status_unclassified_population,0.0,persons,analysis_universe,unique_person,,
approach,0,baseline_fragile_share,0.26537982340513894,share,analysis_universe,not_applicable,0.247,0.01837982340513894
approach,0,new_fragile_blocks,0.0,blocks,analysis_universe,not_applicable,,
approach,0,new_fragile_population,0.0,persons,analysis_universe,person_scenario,,
approach,0,new_fragile_population,0.0,persons,analysis_universe,unique_person,,
approach,0,new_isolated_blocks,0.0,blocks,analysis_universe,not_applicable,,
